text,label,reasoning
"""my makeup felt very tacky and heavy afterwards. I literally had to use a face mask at night because my skin felt so dull and dry. And this helped me""",advice,"Prescribing a technique, action, or product to solve a problem or achieve a result."
"""Apply lip liner all over the lips if you want longer wear.""",advice,
"""Blend in thin layers instead of applying everything at once.""",advice,
"""First off you look lovely! I think there are a couple small tweaks that would make this shine on the day. Better skin prep, everything looks quite dry. I would suggest getting a facial a few days before ( if you get facials or trying one about a month before and repeating it if it doesn't cause any irritation a few days before). Or in the lead-up to the wedding, exfoliate with a chemical exfoliant about 2x a week, use a richer cream at night and SPF during the day always. The prep the day of should be Bobbi brown's rich cream and a lip balm plus under eye patches. Slightly darker eyebrows. Not super dark but just a hair darker and more filled in.""",advice,
"""I don't know and am not sure if it would work but draw a thin line on your lips then try to spread it on the rest of your lips.""",advice,
"""I know people will say skin care and moisturize and stuff, but try different foundation. After a long time searching, I found the luminous silk from Armani absolutely melts into my skin and looks flawless.""",advice,"the author is prescribing a specific action (""try different foundation"") to solve a problem, using their personal discovery as supporting evidence, not just sharing the discovery itself."
"""I swear by Chatlotte Tilbury Airbrush Setting Spray. You spray it on your clean face, then apply makeup and spray again. It has been a game changer for me.""",advice,
"""I usually sponge concealer over the outer edges of my lips. Then I use liquid lipstick: Kaleidos lip clays or Girl Cult lipsticks and swipe the color in the center of my lips. I then use a finger to blur it and smudge it into a soft feathery look.""",advice,
"""I would try exfoliating but using a very gentle one. I would use the rice facial sebum toner from Joseon Beauty since it's so gentle and will do very light exfoliating while also adding some moisture. I use their green toner and it's been great for my sensitive skin""",advice,
"""I'd make sure that you're evenly coating your sponge or brush to make sure you're not accidentally applying extra product in one spot. Also I think you should try a different foundation. The wet n wild tinted hydrator is really good and has medium coverage. It's only $5.""",advice,
"""If you pour oil into water, they separate. The same thing will happen to makeup. If you wear a silicone-based foundation on top of a water-based sunscreen, they won't blend properly and you will have separation and pilling shortly after applying. Once you find compatible products your makeup will perform better and last longer on the face.""",advice,
"""If you're using retinol on your face everyday, your makeup is probably never going to settle on your face. Retinol is an exfoliant, so your skin is trying to slough off the dead stuff and if you use it every day, you're in a constant cycle of that. My makeup never settles the day after I use retinol. Trying cutting back on using it and see if that makes a difference.""",advice,
"""If your eyeliner skips, warm the tip on the back of your hand first.""",advice,
"""In my practice, the only case when water- and silicon-based products were REALLY not compatible was when I tried to mix silicon-based foundation and water-based cream (or vice versa) in one container. If you're not applying products one by one without any pauses, you should be fine""",advice,
"""Make sure you're moisturizing before makeup and always wait 5 minutes after applying sunscreen to apply makeup! Make sure to tap the blush on not drag""",advice,
"""Maybe I'm just old and have bad habits from learning do my makeup in the year 2000 🤣 but I feel like so many folks use sooooo much product. I use 1 foundation straight on my bare skin, 1 powder, blush, bronzer, 1 setting spray. My face makeup doesn't move for 12 hours.""",advice,
